A.301	There is a gap in my solution. Hopefully, the following will be useful.\[\] Matrix norms: $\begin{align*} \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\right)^{\frac{1}{2}}\leq \left(\sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\right)^{\frac{1}{2}} \leq \left(\sum_{j=1}^{n} \sum_{i=1}^{m} |a_{ij}|^{2}\right)^{\frac{1}{2}} & \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} \left|\sum_{j=1}^{n} a_{ij}\right|\\ \Rightarrow \sqrt{\sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij}^{2}) \leq \sum_{i=1}^{m} a_{ij} \cdot \sqrt{m} \sum_{j=1}^{n} a_{ij} = \sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} \cdot \sqrt{1} = \sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij} \\ \Rightarrow \left(\sum_{i=1}^{m} \sum_{j=1}^{n} |a_{ij}|^{2}\leq \sum_{i=1}^{m} |a_{ij} \leq \sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij)^{2}\end{align*}$ Now this could be telescoped to $\begin{align*} \sum_{j=1}^{n}|a_{j1}|^{2}+\sum_{j=2}^{n}|a_{j2}|^{2}+\cdots+\sum_{j=1)^{n}|a_{jn}|^{2}\leq \sum_{i=1}^{m}\sum_{j=1}^{n} a_{ij} \leq \sum_{i=1}^{m}\sum_{j=1}^{n
A.302	A complex number $w=a+bi$, where $a,b$ are real, has $n$th roots if and only if $n$ is a divisor of the�fpgun $2 \pi w$ (Added after the last edit) $n$th roots of $w$ exist if the multiplicative order of $w$ acts trivially on the factors $(a+bi)^m$, for each $m=1,2,\dots,n-1$. So, if the number has $n$ distinct factors, then it has $n$ roots. If not, it has 1 root. When $n$ is a divisor of $2 \pi w$ (which means the calling it a $n$th power makes sense, then it has $n$ roots, else, only one, and this is given in the above formula. If $n$ is a divisor of $2 \pi w$, the $n$th roots are $\sqrt[n]{a+bi}$. If not, only one, and that is $$(\sqrt[n]{a+bi)=e^{\frac{m \pi i}{n}\cdot \frac{1}{2}}$$ where $m$ is the smallest positive integer such that $(a+bi)^m \neq 1$ (This can be determined by looking at the powers of $a+bi$) Let $w=ae^{i\theta}$, where $a>0$ and $\theta \in \mathbb{R}$. Then $w^n=a^n e^{n\theta i}$. So, comparing real and imaginary part, $$a^n \cos n\theta = a^{1/2}\cos \frac{n\theta}{2}=e^{\frac{n \pi i}{2}$ If $a^n=1$, roots are $$\sqrt[n]{e^{n\theta\cdot \frac{1}{2}}e^{\frac{1}{2}i}=e^{\frac{(n+1)\pi}{4}i}$$ If $a^n=-1$, roots are $\sqrt[n]{e^{n\theta\cdot \frac{1}{2}}e^{-1}=\sqrt{-1}e^{\frac{n\pi i}{4}=i}$$ If $a$ is positive, it
A.303	Let's consider the bilinear form on $V$ be represented by a $2 \times 2$ matrix $A=\begin{pmatrix} a & b \\ c & d \end{pmatrix}$ such that $[x,y]=[x]=\begin{pmatrix} 0 & 1 \\ -1 & 0 \end{pmatrix}$ and $[y,x]=\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}$ where $a,b,c,d$ are elements in $K$. So we require $A$ to satisfy 1. $[x,x]=0$ which gives $a=0,d=0$ 2. $[y,[y]=\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}$ which gives $b=0$. Hence the matrix should be $\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}$. Since it is not hard to guess what $c$ is we try with $c=1$. We find that $[x,y]=\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}=\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}=[y,x]$ gives the desired result. A similar calculation shows that $[y,x]=\begin{pmatrix} 0 & -1 \\ -1 & 0 \end{pmatrix}=\begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix}$. We claim that this is unique. Le $A=\begin{pmatrix} p & q \\ r & s \end{pmatrix}$ and consider $\begin{pmatrix} p & q \end{pmatrix}$ and $\begin{pmatrix} r & s \end{pmatrix}$ in the action of $[x,x]$. Using properties of the bracket we have $p=0, s=1$. Hence $q=-1$ and $rqs=-1$. Thus $[x,[x]=\begin{pmatrix} p & q \end{pmatrix}=\begin{pmatrix} 0 & 1 \end{pmatrix}$ gives $q=0$. Thus the only possibility is $\begin{pmatrix} 0 & 1 \\ -1 & 0 \end
A.304	Answer: To me, the main idea behind the argument is the following: A non-orientable surface is a surface without a proper orientation. This means that there is no way to choose a consistent Nowhere-vanishing normal vector field on the surface. Now, a quasi-complex structure on a manifold is a choice of complex line bundle, a nowhere-vanishing normal vector field, and a connection on that bundle. In other words, a nowhere-vanishing normal vector field is the ground twist of the complex structure. If there were a quasi-complex structure, then we can choose such a structure. But we can't, therefore, there isn't one. To see this more explicitly, consider a non-orientable surface $X$. Choose a point $p$ on the surface $X$. Then, there are tangent vectors $v, w \in T_x X^2$ such that $cv$ and $dw$ do not span $T_x X^2$ for some nowhere-zero complex number $c$. (This is possible because the surface is non-orientable.) Now, if there were a quasi-complex structure, we could choose a complex line bundle $\mathcal{L}$ and a connection $\nabla$ on it such that $\nabla(cv)$ vanishes at $p$. Then, the curvature form of $\nabla$ would vanish at $p$. But this would imply that the curvature form of $\nabla$ is zero everywhere on $T_x X^2$, since $\nabla$ is a 1-form on $T_x X^2$ and the only invariant of a connection 1-form is a Riemann curvature form. But the curvature form of a connection on $T_x X^2$ is given by $F(cv, w)$, where $F$ is the curvature form associated with $\nabla$. Thus $F(cv, w) = 0$ for all $w \in T_x X^2$. However, we have $F(cv, w) = -F(v, cw)$ for all $v \in T_x X^2$. Thus, the complex line bundle $\mathcal{L}$ with connection $\nabla$ is trivial, i.e., $T_x \mathcal{L} = 0$ at
A.305	Well, as $N$ goes to infinity, all of the terms $\frac{1}{2^r$ become very small and hence the floor of the sum of the terms approaches $0$. $0<\frac{1}{2^r} <1$ for all $r$, so the floor of the sum is $\boxed{0}$. The answer is 0
A.306	By Liouville's theorem, this theorem states that if a constant is arithmetically independent of the primes then it cannot be algebraic. And since $$\sin(\pi x),$$ the Euler Mascheroni constant is arithmetically independent of all primes, it follows that that the constant cannot be algebraic. This is because if it were algebraic then the sine function would have a priori period of an odd number of digits (and hence an odd number of zeroes) at some point, which is impossible. Also, the arithmetic properties of the constant are as expected: length of a period is unchanged under addition of an integer, and is reversed under negation. That is why the constant is irrational.
A.307	Since this is a relatively old problem, please provide a reference if possible. Let $n$ be a positive integer. By definition, $\lambda(n)$ is the smallest positive integer $t$ such that $a^t\equiv1\pmod n$ for all$-$1<a$coprime to$n$. Thus, $a^t\equiv1\pmod n$ for all$a$with$\gcd(a,n)=1$. Because $1$is coprime to$n$, $a^t\equiv1\pmod n$holds for$a=1$. Therefore,\[\begin{split*} \lambda(n)&=\operatorname{ord}_n(1)\\ & =\text{min}\{\,t\in\mathbb N:\,1^t\equiv1\pmod n\text{ and }\gcd(1,n)=1 \\ & =\text{min}\{\,t\in\mathbb N:\,1^t\equiv1\pmod n\text{ and }\gcd(1,n)\ge2\quad\}=\text{min}\{\,t\in\mathbb N:\,1^t\equiv1\pmod n\text{ and }\gcd(1,n)\ge2\quad\implies\quad \[\\ &\implies\quad \lambda(n)&=\operatorname{ord}_n(1)=\boxed{1}.\end{split*}$ ru oroy (first years stackexchange answer)](https://math.stackexchange.com/a/6989034/2079336). The answer is 1
A.308	Answer:The Gamma function $\Gamma(s)$ has a simple pole at $s=1$, where the integral of the function $\frac1{x^{s-1}e^{-x}$ over $x=0$ is $\frac{1}{s-1}$. Thus $\frac{1}{\Gamma(s)}$ performs a change of sign making it anti-periodic (becomes $-1$ if $s$ is a positive integer), which is handy to work with. The integral over $[0,\infty)$ is symmetric around the real $x$ axis, so that we can flip the contour to be in $[0,\infty)$ as $s$ changes sign, and the integral over $C$ is now from $0$ to $\infty$. The pole at $s=0$ can be avoided by taking $\epsilon$ large, and the path returns to $0$ along the positive imaginary axis, so that it does not cross it. Then as $\epsilon\rightarrow 0$, we get the limit$$\lim_{\epsilon\rightarrow 0}\frac{1}{2\pi i}\int_{\epsilon}^0 \frac{R^s}{e^R}{e^{-\pi R}\frac{dz}}{z}=\lim_{\epsilon\rightarrow 0}\frac{R^s}{e^{-R}\int_{\epsilon}^0 \frac{dR}{R}e^{\pi R}dz}.$$Happily, $\int_{\epsilon}^0 \frac{dR}{R}=R\ln R$, so we are only left with $\lim_{\epsilon\rightarrow 0}\frac{R^s}{e^R}=1$. This is only 0 if $s$ is not an integer, so $\zeta(s)$ is its own. Back in the tribe of $\delta$, the integral over $C$ is $$\frac{\Gamma(1-s)}{\pi i}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx=\frac{\Gamma(1-s)}{\pi i}\int_0^\infty \frac{x^{1-s}{e^x}dx=\boxed{\frac{(-1)^{1-s}}{s-1}\zeta(1-s)e^{-s}\Gamma(1-s)}$$ The sign cancellation is neat!
A.309	Ans: Elements $\pmod{p}$ of $x^3=a$ basically have 3 cubes in $\mathbb{F}_p$. So, if we take $3$ random elements from $\mathbb{F}_p$, say $0,1,2$, and calculate their cubes $\pmod{p$, we'll get: \begin{align*} x^3\equiv 0 \pmod{p} \Rightarrow 0^3 &\equiv 0\pmod{p} \\ x^3\equiv 1 \pmod{p} \Rightarrow 1^3 &\equiv 1\pmod{p} \\ x^3\equiv 2 \pmod{p} \Rightarrow 2^3 &\equiv 8 \pmod{p} \equiv 1\pmod{p} \end{align*}So all the cubes $\pmod{p}$ are equivalent to $1$. Now, the number $1$ has exactly $2$ distinct cubes $\pmod{p$, namely $1$ and $8$. The rest of the elements of $\mathbb{F}_p$ can be obtained by $2$ such that $a\equiv -1 \pmod{p}$, so $2\cdot p\equiv -1 \pmod{p}$. But notice that $2$ has an inverse in $\mathbb{F}_p$, specifically $2\cdot 2\cdot p\equiv 1\pmod{p}$. Multiply both sides by this number and divide both sides by $2$: \begin{align*} x^3 &\equiv 2x \equiv 1 \pmod{p}\\ x &\equiv \frac{1}{2}\pmod{p} \end{align*}Thus, the elements $x\equiv 1$ and $x\equiv 8$ are the only solutions over $\mathbb{F}_p$. But we also have the two extra solutions $\equiv -x\pmod{p}$, so we have a total of $\boxed{3}$ solutions in $\mathbb{F}_p$. The answer is 3
A.310	Assume that the fraction a on top is something more tricky to solve, such as\[\frac{4}{x} + \frac{a}{y} = 1\]It's best to start by multiplying by $10y$ so we have \[4y + axy = y.\]Then adding $a$ to both sides lets us solve for $y$. \[ \begin{array}{r r c r c r@{}l r@{}l} &=& 4y+ax&+a& 10y& = y \\ -a& = &4y& -axy \\ -a& = &4y& -a \\ \end{array}\]If $x\neq0$, we divide by $x$ to get \[y = \frac{4}{a(y-1).\]Hence the solutions for $y$ are integral multiples of $\frac{1}{a}$. The solutions for $x$ are the inverse of this, so they depend on $a$. For $4/x + 10/y = 1$, the inverse of $a$ is $4/10$, so the solutions are \[ \boxed{\{y = 1, 2, 4,8, 10}.\]The answer is 8
A.312	We know this: $$\left\lfloor x \right\rfloor \leq x < \left\lfloor x+1 \right\rfloor \Rightarrow \left\lfloor \frac{x}{c} \right\rfloor \leq \frac{x}{c} < \left\lfloor \frac{x+1 \right\rfloor $$ for $x,c \in \mathbb{Z^+$. Now let’s change up the expression, to get: $$\left\lfloor \frac{a}{b} \right\rfloor = \frac{a}{b} = \left\lfloor \frac{a}{bc} \right\rfloor + \left\lfloor \frac{1}{bc} \right\rfloor $$ By the above inequality applied to each expression, $$\left\lfloor \frac{a}{b} \right\rfloor \leq \frac{a}{b} < \left\lfloor \frac{a}{bc} \right\rfloor \leq \frac{a}{bc}.$$ Taking the floor of both sides, $$\left\lfloor \frac{a}{b} \right\rfloor \leq \left\lfloor \frac{a}{bc} \right\rfloor < \left\lfloor \frac{a}{b} \right\rfloor + 1.$$ Thus, $\left\lfloor \frac{a}{bc} \right\rfloor = \left\lfloor \frac{a}{b} \right\rfloor + \left\lfloor 1 \right\rfloor,$ which implies (by the previous inequality) that $\left\lfloor \frac{a}{b} \right\rfloor$ must be a multiple of $bc.$ Hence, $$\left\lfloor \frac{\left\lfloor a/b \right\rfloor}{c} \right\rfloor=\left\lfloor\frac{a}{bc}\right\rfloor.$$ Let’s add $1$ to each side to get: $$\left\lfloor \frac{\left\lfloor a/b \right\rfloor}{c} \right\rfloor = \left\lfloor \frac{a}{b} \
